G6PD Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
Arakawa/Suwalki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Swansea,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Arakawa/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Arakawa/Telti, Kobe",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Tenri,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Arakawa/Tokyo, Fukushima",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
Arakawa/Tomah,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Tondela,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Torun,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Tsukui,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Arakawa/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Arakawa/Urayasu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Utrecht,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Arakawa/Vancouver,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Arakawa/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Arakawa/Villeurbanne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Volendam,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Wayne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/West Virginia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Wexham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Wisconsin,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Arakawa/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahi,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Asahi,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Asahikawa,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Aures,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Aveiro,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/B (reference),,G6PD Variable,Abnormal/Priority/High Risk
Asahi/Bajo Maumere,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Bangkok,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Bangkok Noi,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Bao Loc,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Bari,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Belem,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Beverly Hills, Genova, Iwate, Niigata, Yamaguchi",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Brighton,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Buenos Aires,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Cairo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Calvo Mackenna,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Campinas,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Canton, Taiwan-Hakka, Gifu-like, Agrigento-like",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Cassano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Chatham,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Chikugo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Chinese-1,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Chinese-5,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Cincinnati,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Cleveland Corum,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Clinic,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Covao do Lobo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahi/Durham,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Figuera da Foz,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Flores,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Fukaya,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Fushan,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Gaohe,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Georgia,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Gidra,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahi/Gond,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahi/Guadalajara,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Guangzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Haikou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Hammersmith,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Harilaou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Harima,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Hartford,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Hechi,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Hermoupolis,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Honiara,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Ierapetra,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Ilesha,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Insuli,,G6PD Variable,Abnormal/Priority/High Risk
"Asahi/Iowa, Walter Reed, Springfield",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Iwatsuki,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Japan, Shinagawa",,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Kaiping, Anant, Dhon, Sapporo-like, Wosera",,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Kalyan-Kerala, Jamnaga, Rohini",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Kambos,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Kamiube, Keelung",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Kamogawa,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Kawasaki,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Kozukata,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Krakow,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Lages,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Lagosanto,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Laibin,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahi/La Jolla,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Lille,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Liuzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Loma Linda,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Ludhiana,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Lynwood,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Madrid,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Mahidol,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Malaga,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Manhattan,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Mediterranean, Dallas, Panama, Sassari, Cagliari, Birmingham",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Mediterranean Haplotype,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Metaponto,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Mexico City,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
Asahi/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Montalbano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Montpellier,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Mt Sinai,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Munich,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Murcia Oristano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Musashino,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Namouru,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Nankang,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Nanning,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Naone,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Nara,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Nashville, Anaheim, Portici",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Neapolis,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Nice,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Nilgiri,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/No name,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/North Dallas,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Olomouc,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Omiya,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahi/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Pedoplis-Ckaro,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Piotrkow,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Plymouth,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Praha,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Puerto Limon,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Rehevot,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Riley,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Riverside,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Santiago,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Santiago de Cuba, Morioka",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"Asahi/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Serres,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Shinshu,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Split,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Stonybrook,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sugao,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sumare,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Sunderland,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Suwalki,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Swansea,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Telti, Kobe",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Tenri,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Tokyo, Fukushima",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Tomah,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Tondela,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Torun,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Tsukui,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Urayasu,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Utrecht,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Vancouver,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahi/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Villeurbanne,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Volendam,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Wayne,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/West Virginia,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Wexham,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Wisconsin,,G6PD Deficient,Abnormal/Priority/High Risk
Asahi/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahikawa,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Asahikawa,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Aures,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Aveiro,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/B (reference),,G6PD Variable,Abnormal/Priority/High Risk
Asahikawa/Bajo Maumere,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Bangkok,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Bangkok Noi,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Bao Loc,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Bari,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Belem,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahikawa/Beverly Hills, Genova, Iwate, Niigata, Yamaguchi",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Brighton,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Buenos Aires,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Cairo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Calvo Mackenna,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Campinas,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Canton, Taiwan-Hakka, Gifu-like, Agrigento-like",,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Cassano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Chatham,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Chikugo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Chinese-1,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Chinese-5,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Cincinnati,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Cleveland Corum,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Clinic,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Covao do Lobo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahikawa/Durham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Figuera da Foz,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Flores,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Fukaya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Fushan,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Gaohe,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Georgia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Gidra,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahikawa/Gond,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahikawa/Guadalajara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Guangzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Haikou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Hammersmith,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Harilaou,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Harima,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Hartford,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Hechi,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Hermoupolis,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Honiara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Ierapetra,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Ilesha,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Insuli,,G6PD Variable,Abnormal/Priority/High Risk
"Asahikawa/Iowa, Walter Reed, Springfield",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Iwatsuki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Japan, Shinagawa",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Kaiping, Anant, Dhon, Sapporo-like, Wosera",,G6PD Deficient,Abnormal/Priority/High Risk
"Asahikawa/Kalyan-Kerala, Jamnaga, Rohini",,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Kambos,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahikawa/Kamiube, Keelung",,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Kamogawa,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Kawasaki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Kozukata,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Krakow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Lages,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Lagosanto,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Laibin,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahikawa/La Jolla,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Lille,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Liuzhou,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Loma Linda,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Ludhiana,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Lynwood,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Madrid,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Mahidol,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Malaga,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Manhattan,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Mediterranean, Dallas, Panama, Sassari, Cagliari, Birmingham",,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Mediterranean Haplotype,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Metaponto,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Mexico City,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"Asahikawa/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
Asahikawa/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Montalbano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Montpellier,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Mt Sinai,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Munich,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Murcia Oristano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Musashino,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Namouru,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Nankang,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Nanning,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Naone,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Nara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Nashville, Anaheim, Portici",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Neapolis,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Nice,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Nilgiri,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/No name,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/North Dallas,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Olomouc,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Omiya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
Asahikawa/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Pedoplis-Ckaro,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Piotrkow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Plymouth,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Praha,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Puerto Limon,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Rehevot,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Riley,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Riverside,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Santiago,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Santiago de Cuba, Morioka",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"Asahikawa/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Serres,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Shinshu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Split,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Stonybrook,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Sugao,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Sumare,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Sunderland,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
Asahikawa/Suwalki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Swansea,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"Asahikawa/Telti, Kobe",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Tenri,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"Asahikawa/Tokyo, Fukushima",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
Asahikawa/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
